30,47
37,32
22,37
30,53
63,53
60,45
56,62
22,23
59,51
38,43
22,51
32,36
44,24
34,35
51,61
30,58
33,20
29,27
60,27
62,27
19,27
39,21
24,50
19,26
47,32
37,42
35,18
29,39
32,56
65,29
59,42
35,65
63,61
34,62
57,59
24,42
27,34
41,62
46,31
44,26
36,32
36,26
44,42
18,26
34,31
55,45
65,59
35,32
23,55
18,31
36,46
48,51
65,38
52,39
36,61
35,62
38,57
61,47
58,43
45,23
30,47
48,62
54,57
45,59
30,50
65,32
33,37
51,63
35,56
45,61
25,56
52,29
65,48
60,46
49,60
35,47
24,59
52,35
65,25
46,24
39,44
34,48
25,37
19,61
60,39
57,20
44,39
20,36
51,21
39,29
34,39
59,33
59,40
29,28
42,49
28,41
31,36
36,20
45,41
47,19
39,55
44,42
53,19
30,19
50,31
32,34
48,21
35,41
42,25
40,62
55,43
50,57
37,52
20,31
49,42
29,35
36,51
56,45
25,63
47,50
44,44
39,41
27,60
25,27
59,31
61,60
29,60
24,49
25,42
32,20
55,22
47,18
56,30
61,21
25,29
24,56
48,44
63,29
59,39
30,47
34,43
41,52
61,49
57,60
18,48
40,32
65,57
63,63
42,64
48,38
36,46
54,60
24,64
35,54
56,19
45,60
64,53
47,31
53,39
56,42
59,49
20,50
29,58
27,60
36,57
25,32
63,34
24,22
33,31
28,62
41,42
25,38
50,36
30,29
24,32
56,59
30,23
53,19
31,24
47,50
19,43
59,62
48,35
39,54
52,50
48,29
49,61
37,18
21,27
19,47
53,22
54,57
35,60
22,29
65,41
19,35
62,22
30,32
53,53
62,23
